NU_IDENTIFICADOR;Regiao;UF;Município;Porte_pop2010;q14_1;nu_trabalhadores
11000120396;Região Norte;RO;Alta Floresta D'oeste;Pequeno II;68;5
11000206675;Região Norte;RO;Ariquemes;Médio;68;12
11000300594;Região Norte;RO;Cabixi;Pequeno I;8;10
11000403403;Região Norte;RO;Cacoal;Médio;542;15
11000515040;Região Norte;RO;Cerejeiras;Pequeno I;96;4
11000610994;Região Norte;RO;Colorado do Oeste;Pequeno I;16;6
11000704269;Região Norte;RO;Corumbiara;Pequeno I;192;19
11000815284;Região Norte;RO;Costa Marques;Pequeno I;23;1
11000920220;Região Norte;RO;Espigão D'oeste;Pequeno II;516;10
11001033077;Região Norte;RO;Guajará-mirim;Pequeno II;448;8
11001110191;Região Norte;RO;Jaru;Médio;281;8
11001120406;Região Norte;RO;Jaru;Médio;740;4
11001203860;Região Norte;RO;Ji-paraná;Grande;396;9
11001203903;Região Norte;RO;Ji-paraná;Grande;999;7
11001206559;Região Norte;RO;Ji-paraná;Grande;109;7
11001300784;Região Norte;RO;Machadinho D'oeste;Pequeno II;10;7
11001410522;Região Norte;RO;Nova Brasilândia D'oeste;Pequeno I;32;4
11001504890;Região Norte;RO;Ouro Preto do Oeste;Pequeno II;746;13
11001806352;Região Norte;RO;Pimenta Bueno;Pequeno II;295;12
11002003247;Região Norte;RO;Porto Velho;Grande;54;11
11002003250;Região Norte;RO;Porto Velho;Grande;365;11
11002003252;Região Norte;RO;Porto Velho;Grande;55;14
11002003255;Região Norte;RO;Porto Velho;Grande;1530;12
11002003262;Região Norte;RO;Porto Velho;Grande;142;15
11002020096;Região Norte;RO;Porto Velho;Grande;231;6
11002515462;Região Norte;RO;Presidente Médici;Pequeno II;58;9
11002604794;Região Norte;RO;Rio Crespo;Pequeno I;365;11
11002815370;Região Norte;RO;Rolim de Moura;Médio;47;11
11002903917;Região Norte;RO;Santa Luzia D'oeste;Pequeno I; ;14
11003006536;Região Norte;RO;Vilhena;Médio;1449;13
11003230216;Região Norte;RO;São Miguel do Guaporé;Pequeno II;220;3
11003303578;Região Norte;RO;Nova Mamoré;Pequeno II;295;13
11003404214;Região Norte;RO;Alvorada D'oeste;Pequeno I;200;8
